__label__社会 , エジプト と スーダン の 国境 に 位置 する 、 1970 年 の アスワンハイダム 建設 によって 誕生 し た 人工 湖 は ○ ○ ○ 湖 ？ ( 3 文字 ) ナセル 
__label__社会 , 次 の 市 を 都道 府 ごと に グループ 分け し なさい 高知 県 香川 県 丸亀 市 さ ぬき 市 安芸 市 
__label__社会 , ムー 大陸 の 存在 を 主張 し た 本 『 失わ れ た ムー 大陸 』 の 著者 は フィリップ・スクレーター で ある 
__label__社会 , [ 画像 問 ] 2012 年 4 月 に 伊豆 急 下田 駅 の 駅長 に 任命 さ れ た 「 やま ちゃん 」 「 し ゃっく 」 「 ギャルオ 」 は どんな 動物 ？ （ A . ウサギ | B . ペンギン ） 
__label__社会 , 次 の 山脈 と それ が 位置 する 地方 の 正しい 組み合わせ を 選び なさい 日高山脈 讃岐山脈 奥羽 山脈 四国 地方 北海道 地方 東北 地方 
__label__社会 , 次 の うち いわゆる 「 銀行 の 三 大 業務 」 に 含ま れる もの を 全て 選び なさい 為替 預金 融資 両替 
__label__社会 , アメリカ合衆国 本土 と 陸 で 国境 を 接する 国 を 1 つ 答え なさい カナダ メキシコ 
__label__社会 , 環境 保護 に 配慮 し ながら 自然 を 観察 、 体験 する 観光 旅行 を 「 ○ ○ ○ ○ ○ 」 という ？ ○ を 答え なさい エコ ツアー 
__label__社会 , 東 は イースト 川 西 は ハドソン 川 マンハッタン 
__label__社会 , アメリカ で 最も 面積 が 大きい 州 は ○ ○ ○ ○ 州 ？ ○ を 答え なさい アラスカ 
__label__社会 , 2009 年 に 日本 司法 支援 センター （ 法 テラス ） の 理事 に 就任 し た 女性 キャスター は 安藤 優子 で ある 
__label__社会 , 女王 を 国家 元首 と する 国 で エリザベス 2 世 と いえ ば どこ の 国 ？ イギリス 
__label__社会 , 日本 の 首相 官邸 が ある の は 永田町 で ある 
__label__社会 , 次 の うち 、 営業 形態 で 分類 さ れ た 日本 の 農家 の 種類 に ある もの を 全て 選び なさい 第 一 種 専業 農家 専業 農家 起業 農家 
__label__社会 , 次 の 経済 における 景気 循環 を 周期 が 短い 順 に 選び なさい コンドラチェフ の 波 キチン の 波 ジュグラー の 波 クズネッツ の 波 
__label__社会 , ヨーロッパ で 初めて サマータイム が 導入 さ れ た の は 20 世紀 で ある 
__label__社会 , 東京 の 皇居 は 江戸城 跡地 に 建て られ た もの で ある 
__label__社会 , 韓国 の 首都 ・ ソウル を アルファベット で 表記 する と 英語 で 「 魂 」 を 意味 する 単語 と 同じ 「 soul 」 と なる 
__label__社会 , 2001 年 に 発足 し た 西東京 市 は 田無 市 と 隣接 する ○ ○ 市 が 合併 し て でき た ？ ( 2 文字 ) 保谷 
__label__社会 , 福岡 県 筑後 市 に ある 九州 新幹線 の 駅 は 「 筑後 ○ ○ ○ 駅 」 ？ 船小屋 
__label__社会 , 日本 の 政令 指定 都市 の 行政 区 で 最も 面積 が 大きい の は 静岡 県 葵 区 です が 最も 人口 が 多い の は 横浜 市 ○ ○ 区 ？ ○ の 漢字 を ひ ら が なで 答え なさい こう ほ く 
__label__社会 , 次 の 麻生 内閣 の 閣僚 を 務め た 政治 家 を 辞任 し た の が 早い 順 に 選び なさい 中山 成彬 鳩山 邦夫 中川 昭一 
__label__社会 , 夏目 漱石 の 小説 『 坊ちゃん 』 で も おなじみ の 道後 温泉 は 四国 の 何 県 に ある ？ 高知 県 香川 県 愛媛 県 徳島 県 
__label__社会 , 東海道新幹線 の 下り で 神奈川 県 に 入っ て 最初 の 駅 は 新横浜 です が 愛知 県 に 入っ て 最初 の 駅 は ○ ○ 駅 ？ ○ の 漢字 を ひ ら が なで 答え なさい と よ はし 
__label__社会 , 入れ歯 や 差し歯 を 作る の が 仕事 です 歯科 技工 士 
__label__社会 , 人口 1 人 当たり の 自転車 保有 台数 が 世界 で 唯一 1 台 を 超え て いる 国 は 中国 で ある 
__label__社会 , カルスト 地形 に 名 を 残す カルスト 地方 が ある 国 は スロベニア で ある 
__label__社会 , 2011 年 10 月 を もっ て 全 都道府県 で 施行 さ れ た 、 暴力団 に対する 条例 は 「 暴力団 ○ ○ 条例 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい は い じ ょ 
__label__社会 , 金融 業界 で 使わ れる 略語 で 代金 取引 手形 と いえ ば 「 ○○○」？○ を 答え なさい ダイテ 
__label__社会 , 大型 犬 は 乗用車 の 定員 に 含ま れる 
__label__社会 , 半導体 、 薄型 テレビ 、 携帯 電話 端末 など で 有名 な 韓国 最大手 の 電機 メーカー は ○ ○ ○ ○ 電子 ？ ○ を 答え なさい サムスン 
__label__社会 , 公害 の 種類 で 、 工場 など から 排出 さ れる 有毒 ガス で 空気 が 汚さ れる もの を 「 大気 汚染 」 と いい ます が 流入 し た 工場 排水 や 生活 排水 など によって 河川 や 湖沼 が 汚さ れる もの を 「 水質 ○ ○ 」 という ？ ○ の 漢字 を ひ ら が なで 答え なさい お だく 
__label__社会 , OPEC の 本部 が ある 都市 は ？ リヤド ジュネーブ ウィーン シンガポール 
__label__社会 , 日本 の 47 都道府県 の うち 名前 が 濁音 で 始まる の は 岐阜 県 と ○ ○ 県 ？ の 漢字 を ひ ら が なで 答え なさい ぐんま 
__label__社会 , その 沿道 に SHIBUYA 109 が ある こと で 有名 な 、 東京 都 渋谷 区 の 坂 は 「 ○ ○ 坂 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい どう げん 
__label__社会 , 世界 遺産 の ワルトブルク 城 が ある ドイツ の 都市 は アイゼナハ で ある 
__label__社会 , バブル 絶頂 期 の 1989 年 に 記録 し た 日経 平均 株価 の 史上 最 高値 は 4 万 円 を 超え て い た 
__label__社会 , 映画 の ロケ 地 として おなじみ の ロサンゼルス の すぐ 西 の 保養 都市 サンタ モニカ 
__label__社会 , 「 新 」 と つく 新幹線 の うち 日本 で 最も 南 に あり ます しん みな また 
__label__社会 , 次 の うち 、 インドネシア が 領土 を 持っ て いる 島 を 全て 選び なさい ニューギニア 島 ミンダナオ島 スマトラ島 
__label__社会 , 現在 、 発行 さ れ て いる 5 円 玉 と 50 円 玉 で 穴 が 大きい の は 50 円 玉 の 方 で ある 
__label__社会 , 次 の JR の 路線 の うち 「 大久保 駅 」 が ある もの を 全て 選び なさい 北陸本線 山陰本線 奥羽本線 
__label__社会 , [ 画像 問 ] 次 の うち 、 フィリピン の 首都 マニラ が ある ルソン島 は どっち ？ （ A . 比較的 上 | B . 比較的 下 ） 
__label__社会 , 岡山 市 に ある 4 つ の 区 は 北 区 、 東 区 、 南 区 と 中央 区 で ある 
__label__社会 , 東南アジア の 国 タイ の 首都 は バンコク です が カンボジア の 首都 は ○○○○○？○ を 答え なさい プノンペン 
__label__社会 , 解決 し ない まま 終わっ た 事件 の こと を 、 入る と なかなか 出 られ ない 建築 物 から 「 ○ ○ 入り 」 という ？ ( 2 文字 ) 迷宮 
__label__社会 , 「 名水 百 選 」 に も 選ば れ て いる 伏見 の 御 香水 、 磯 清水 が ある の は ○ ○ 府 ？ ○ の 漢字 を ひ ら が なで 答え なさい きょう と 
__label__社会 , 「 日本 三 大 がっかり 」 の ひとつ に 数え られる 高知 県 の 橋 と いえ ば ○ ○ ○ ○ 橋 ？ はりまや 
__label__社会 , 2008 年 9 月 に 経営 破綻 し 世界 的 な 株価 の 大 暴落 を 招い た アメリカ の 証券 会社 は ○ ○ ○ ○ ・ブラザーズ ？ ○ を 答え なさい リーマン 
__label__社会 , 福井 県 に ある 高速 増殖 炉 は ○○○○？○ を 答え なさい もんじゅ 
__label__社会 , 21 世紀 初 の サミット は ミラノ で 開催 さ れ た 
__label__社会 , アメリカ の 歴代 大統領 の 中 に は 独立 記念 日 の 「 7 月 4 日 」 が 誕生 日 で ある 人 も い た 
__label__社会 , 民主党 政権 が 導入 を めざし て いる 「 環境 税 」 と も 呼ば れる 税金 は 「 地球 ○ ○ 化 対策 税 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい おん だ ん 
__label__社会 , 3 % の 税率 で 、 日本 に 消費 税 が 導入 さ れ た の は 西暦 ○ ○ ○ ○ 年 ？ ○ を 答え なさい 1989 
__label__社会 , サッポロビール 株式会社 は 北海道 札幌 市 で 創業 さ れ た 
__label__社会 , 「 雪 を いただい た 」 という 意味 州都 は カーソンシティ 愛称 は 「 銀 の 州 」 ギャンブル の 町 ・ ラスベガス アイダホ 州 ジョージア 州 オレゴン 州 ネバダ 州 
__label__社会 , 奈良 市 の 奈良公園 内 に ある 768 年 に 創建 さ れ た 神社 は ○ ○ 大社 ？ ○ の 漢字 を ひ ら が なで 答え なさい かす が 
__label__社会 , 現在 、 国際 社会 において 「 G 2 」 と 称さ れる の は アメリカ と どこ の 国 の 関係 ？ イラク 日本 ロシア 中国 
__label__社会 , 日本 で 最も 深い ところ に ある 地下鉄 の 駅 は 六本木 駅 で ある 
__label__社会 , アメリカ 海軍 「 第 7 艦隊 」 の 現在 の 旗艦 で ある 揚陸 指揮 艦 は ？ ブルーリッジ 
__label__社会 , 日本 の 鉄道 で 最も 東 に 位置 する 駅 は 東 根室 駅 で ある 
__label__社会 , 日本 の 高速 道路 において おおむね 15 km ごと に 設け られ て いる 休憩 施設 は パーキング エリア で ある 
__label__社会 , 2011 年 11 月 の 大阪 府知事 選挙 で 当選 し た 政治 家 は 橋下 徹 で ある 
